dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,38,51.69015598297119,-0.5316565529808988,-0.5224563732653457,0.24794970459590715,True,eom,euclidean,4,2,cosine,0.19765150306612622,3,46,"(1, 1)",english,False,-0.07462538692105146,0.7622754491017965,0.6689457060735261
dataset_name,RF,LCB,39,56.12710380554199,-0.554722979103202,-0.5508253881301486,0.21862584276136032,False,eom,euclidean,4,1,cosine,0.18574663798591673,3,47,"(1, 1)",english,False,-0.07083947815021378,0.7186746987951808,0.6664738262649679
dataset_name,RF,LCB,40,64.10856604576111,-0.5992250487413376,-0.5934384084286249,0.17974978543681672,False,eom,euclidean,3,2,cosine,0.19650963170697802,4,46,"(1, 1)",english,False,-0.0783091887030374,0.6493827160493827,0.6354732718354176
dataset_name,RF,LCB,41,53.41734719276428,-0.5340993048915084,-0.5292714188301958,0.2524803346942867,True,eom,euclidean,4,2,euclidean,0.1923247356792596,3,49,"(1, 1)",english,False,-0.08566078461326757,0.7574074074074074,0.6787162085037639
dataset_name,RF,LCB,42,55.808499813079834,-0.5427318310899063,-0.5379291551268558,0.23840900404570317,True,eom,euclidean,5,3,euclidean,0.08453795064395503,2,50,"(1, 1)",english,False,-0.08244926067079508,0.7386363636363636,0.6296193813597191
dataset_name,RF,LCB,43,51.974369049072266,-0.5334505619873819,-0.5311585055443172,0.2422274786400268,True,eom,euclidean,4,2,euclidean,0.18367900377701632,4,38,"(1, 1)",english,False,-0.07352189386359635,0.7502890173410405,0.7007350222891547
dataset_name,RF,LCB,44,60.34837102890015,-0.5636524503471565,-0.5659210188620586,0.2098764082168138,True,eom,euclidean,4,1,euclidean,0.04790415855282782,2,40,"(1, 1)",english,False,-0.0795369929830742,0.7,0.6458545155956485
dataset_name,RF,LCB,45,52.400818824768066,-0.5260874616827684,-0.525731718927231,0.24523457765715873,True,eom,euclidean,4,3,euclidean,0.1887077625837215,3,39,"(1, 1)",english,False,-0.07398052351619505,0.7528409090909091,0.6886342635534987
dataset_name,RF,LCB,46,62.69237184524536,-0.5842256178622478,-0.5824761583252922,0.21268009343919425,True,eom,euclidean,3,2,cosine,0.19996205933955066,2,46,"(1, 1)",english,False,-0.1033387911083187,0.6888446215139442,0.6153676462575196
dataset_name,RF,LCB,47,47.70027685165405,-0.5161528597382452,-0.5150417890374313,0.26200025490720275,True,eom,euclidean,5,3,euclidean,0.18841219249596725,3,36,"(1, 1)",english,False,-0.08119540434835729,0.7778571428571428,0.7163853494632455
