dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,10,451.92571806907654,-0.6388153337278302,-0.6369943827732553,0.20026890557714375,True,eom,euclidean,3,3,none,euclidean,0.006331985865933729,10,2,"(1, 1)",english,False,-0.13370912527322593,0.6469503546099291,0.8058381697829332
dataset_name,RF,LCB,11,443.18732380867004,-0.7382696428463166,-0.7359843808570381,0.027561491225867204,False,eom,euclidean,3,3,none,euclidean,0.0062717397521997575,10,2,"(1, 1)",english,False,-0.06688045586500321,0.4937940761636107,0.8150943436747893
dataset_name,RF,LCB,12,415.68149185180664,-0.719007260646729,-0.7180740929682331,0.01923758751948216,False,eom,euclidean,3,3,none,cosine,0.004716438900202403,10,3,"(1, 1)",english,False,-0.04226010347652291,0.4979527559055118,0.7707309479440907
dataset_name,RF,LCB,13,478.8082091808319,-0.7606371993753285,-0.7650420341631454,0.01926260802777133,False,eom,euclidean,2,2,none,cosine,0.009676357726114177,10,3,"(1, 1)",english,False,-0.053064272705799255,0.4580608793686584,0.7652458730061064
dataset_name,RF,LCB,14,428.29272174835205,-0.6218090277968086,-0.6130892220825248,0.2154922354009171,True,eom,euclidean,3,2,none,euclidean,0.00782208084097332,10,3,"(1, 1)",english,False,-0.12647471113505868,0.6732348111658456,0.770686552343049
dataset_name,RF,LCB,15,544.9733741283417,-0.7307979984269675,-0.7266217090223007,0.11530082697082253,True,eom,euclidean,2,2,none,cosine,0.007412878128554227,10,2,"(1, 1)",english,False,-0.13880178382798228,0.5442557442557443,0.8598440632707038
dataset_name,RF,LCB,16,452.3109908103943,-0.6415075529765828,-0.6382638951642631,0.20117885097722066,True,eom,euclidean,3,2,none,euclidean,0.006374724101632481,9,2,"(1, 1)",english,False,-0.13587547609597203,0.6486994219653179,0.8102825552854853
dataset_name,RF,LCB,17,425.278710603714,-0.6213160038689192,-0.6179175757811103,0.21020177773610957,True,eom,euclidean,3,2,none,euclidean,0.00966442646397765,9,3,"(1, 1)",english,False,-0.12500327886352644,0.6661835748792271,0.7648299236381711
dataset_name,RF,LCB,18,495.5338759422302,-0.6892543254107055,-0.687808875658043,0.14394075878874724,True,eom,euclidean,2,2,none,euclidean,0.008312854211355383,5,3,"(1, 1)",english,False,-0.12797367287913824,0.5818994413407821,0.7755267895334185
dataset_name,RF,LCB,19,428.98995876312256,-0.625495352163431,-0.6231335137094396,0.20472163135481178,True,eom,euclidean,3,2,none,cosine,0.009385098898667779,9,3,"(1, 1)",english,False,-0.12482654495654813,0.659775641025641,0.7552533621779701
dataset_name,RF,LCB,20,432.01051926612854,-0.6203516632260565,-0.6171463267913252,0.20801417379447348,True,eom,euclidean,3,2,none,cosine,0.007720274154919714,8,3,"(1, 1)",english,False,-0.12419698630074705,0.6651898734177215,0.7621798402644069
dataset_name,RF,LCB,21,498.9369101524353,-0.6913568179564917,-0.6866747770881577,0.14458604827230614,True,eom,euclidean,2,2,none,cosine,0.00907976306283396,8,3,"(1, 1)",english,False,-0.1278948833474384,0.5833144154370034,0.7679174305743476
dataset_name,RF,LCB,22,432.84061789512634,-0.6175775199092619,-0.615409112315028,0.2083648326221753,True,eom,euclidean,3,2,none,cosine,0.007098804787909464,3,3,"(1, 1)",english,False,-0.12272767630954759,0.6617124394184168,0.778138071199785
dataset_name,RF,LCB,23,479.5151379108429,-0.6448972025405291,-0.6420756923747324,0.20032538562434377,True,eom,euclidean,3,2,none,cosine,0.00673722921576508,2,2,"(1, 1)",english,False,-0.1396489660521317,0.6422402159244265,0.808486139797105
dataset_name,RF,LCB,24,434.23316407203674,-0.6196290776743387,-0.6185589436028468,0.2083807164803894,True,eom,euclidean,3,3,none,cosine,0.009513975216689138,10,3,"(1, 1)",english,False,-0.1251592215811379,0.664179104477612,0.7629551533598729
dataset_name,RF,LCB,25,471.26746892929077,-0.6577414243089346,-0.6561098651227103,0.18468470470726808,True,eom,euclidean,3,3,none,cosine,0.009361397143448807,10,2,"(1, 1)",english,False,-0.13648874042116588,0.6256906077348067,0.8036404999375778
dataset_name,RF,LCB,26,494.0232267379761,-0.6879411240479202,-0.6869428428403782,0.14289672114143995,True,eom,euclidean,2,3,none,euclidean,0.009638445096869076,10,3,"(1, 1)",english,False,-0.12785811852976123,0.5807256235827665,0.7686852434385992
dataset_name,RF,LCB,27,434.91947984695435,-0.6187880012376697,-0.6192470590944605,0.2056967654984402,True,eom,euclidean,3,2,none,cosine,0.002935289757304303,5,3,"(1, 1)",english,False,-0.12430843594920757,0.6603531300160513,0.7783104601002899
dataset_name,RF,LCB,28,430.5326957702637,-0.6160267749788332,-0.6140923113145376,0.21382584917287795,True,eom,euclidean,3,3,none,cosine,0.001647113058141049,3,3,"(1, 1)",english,False,-0.12612260944650341,0.668849840255591,0.7813019466044028
dataset_name,RF,LCB,29,417.82146310806274,-0.7187377595499169,-0.7117118851685919,0.02643410392733034,False,eom,euclidean,3,2,none,cosine,0.0070517271532313025,6,3,"(1, 1)",english,False,-0.04241383526547698,0.5069354838709678,0.7696881413211225
dataset_name,RF,LCB,30,481.01465487480164,-0.6463137863391467,-0.6447686799175713,0.19374932554711713,True,eom,euclidean,3,3,none,cosine,0.0025612102350682057,4,2,"(1, 1)",english,False,-0.13452437071019838,0.6332446808510638,0.7951593820489168
dataset_name,RF,LCB,31,430.59621715545654,-0.6179342010427896,-0.6124749494621954,0.2135655200205648,True,eom,euclidean,3,3,none,euclidean,0.008517564371977716,3,3,"(1, 1)",english,False,-0.12515814817121967,0.6728758169934641,0.7802748744702541
dataset_name,RF,LCB,32,430.34611797332764,-0.6232957107894775,-0.622416557060237,0.20662215490203317,True,eom,euclidean,3,3,none,cosine,0.0028751135022514014,10,3,"(1, 1)",english,False,-0.1262500262037807,0.659805510534846,0.7682540215428523
dataset_name,RF,LCB,33,432.6019141674042,-0.6184607970427523,-0.6182398708404623,0.2091005005748715,True,eom,euclidean,3,3,none,cosine,0.005470136165381982,6,3,"(1, 1)",english,False,-0.1254123591672694,0.6634108527131783,0.7745287919613433
dataset_name,RF,LCB,34,429.71972012519836,-0.6167108301709253,-0.614874095673062,0.20877755732669084,True,eom,euclidean,3,3,none,euclidean,0.0063129291296063995,4,3,"(1, 1)",english,False,-0.12178895520017945,0.6673701298701299,0.7701375332911244
dataset_name,RF,LCB,35,496.4853708744049,-0.6932165478596926,-0.6887863182647002,0.14143335474101973,True,eom,euclidean,2,3,none,euclidean,0.0004039264246847763,2,3,"(1, 1)",english,False,-0.1282553468206187,0.5764578833693305,0.7783372555909864
dataset_name,RF,LCB,36,425.9936149120331,-0.6100194981872347,-0.6089998256217287,0.21564577709296348,True,eom,euclidean,3,2,none,euclidean,0.006515472116591303,2,3,"(1, 1)",english,False,-0.12383795484615372,0.6755,0.7824188079055555
dataset_name,RF,LCB,37,429.5815031528473,-0.6108098052149752,-0.6121328892134618,0.21652904950811291,True,eom,euclidean,3,2,none,euclidean,0.0012301801447614326,2,3,"(1, 1)",english,False,-0.12617594893003287,0.672859450726979,0.7891531722426509
dataset_name,RF,LCB,38,415.32729291915894,-0.7109968719997513,-0.711691909789853,0.0267762513381133,False,eom,euclidean,3,3,none,euclidean,0.005675840941230422,2,3,"(1, 1)",english,False,-0.04549098918825778,0.502970297029703,0.7847528126927481
