dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,23,78.1435489654541,-0.5539253721142161,-0.5486808767648544,0.21133157067071473,True,eom,euclidean,5,3,distributions,euclidean,0.1783170287475337,3,46,"(1, 2)",english,False,-0.06552359835708088,0.708843537414966,0.3980027186799809
dataset_name,RF,LCB,24,191.65714597702026,-0.5244453577611867,-0.5226252073844615,0.2316726420895825,False,eom,euclidean,5,2,c-tf-idf,euclidean,0.1759405051583194,5,50,"(1, 2)",english,False,-0.061132691117547835,0.7455882352941177,0.4175045447516148
dataset_name,RF,LCB,25,145.18167304992676,-0.55558587529448,-0.5547015197724178,0.21338081180922358,True,eom,euclidean,4,3,distributions,euclidean,0.177411297101284,4,50,"(1, 2)",english,False,-0.07506249794206546,0.7096385542168675,0.38322423384416066
dataset_name,RF,LCB,26,104.55726408958435,-0.5867888998115275,-0.5824020203927935,0.1935222286615883,True,eom,euclidean,3,1,probabilities,cosine,0.17668311346916,10,50,"(1, 2)",english,False,-0.08204640852217332,0.6720720720720721,0.3621106280209644
dataset_name,RF,LCB,27,109.1740369796753,-0.6067746230495888,-0.6059039820258857,0.14344400071116178,True,eom,euclidean,5,2,c-tf-idf,cosine,0.1773662520653129,3,16,"(1, 2)",english,False,-0.05656116491853878,0.6274900398406374,0.24594086718282135
dataset_name,RF,LCB,28,92.15197896957397,-0.6094479830750862,-0.5978621185530294,0.18632776423844866,True,eom,euclidean,3,2,c-tf-idf,euclidean,0.1531942357218888,8,49,"(1, 2)",english,False,-0.08648667627290813,0.6530172413793104,0.42831595907675235
dataset_name,RF,LCB,29,83.7521960735321,-0.5306704431993152,-0.5310639326044885,0.22850602559753197,False,eom,euclidean,5,2,distributions,euclidean,0.18902890643003364,9,47,"(1, 2)",english,False,-0.06054844549326085,0.7397058823529412,0.42330913341617044
dataset_name,RF,LCB,30,78.71221613883972,-0.5383387151017667,-0.5296164653205402,0.22737578822330748,False,eom,euclidean,5,2,c-tf-idf,euclidean,0.18740727645713945,8,44,"(1, 2)",english,False,-0.06113441513854934,0.737593984962406,0.447548858535847
dataset_name,RF,LCB,31,78.83266091346741,-0.5484167199872216,-0.5427500859557278,0.21990825243777937,False,eom,euclidean,5,2,embeddings,euclidean,0.17659025292121988,5,38,"(1, 2)",english,False,-0.06786244971103482,0.7292857142857143,0.5297945125360302
dataset_name,RF,LCB,32,89.58367204666138,-0.556917114131739,-0.5525460003540302,0.21680963355708632,False,eom,euclidean,5,1,distributions,euclidean,0.19125573856385125,2,43,"(1, 2)",english,False,-0.07317026239041388,0.7140845070422536,0.3065559791510241
dataset_name,RF,LCB,33,89.70954990386963,-0.5638948046390698,-0.5589140213034778,0.20623099123719457,True,eom,euclidean,4,2,embeddings,euclidean,0.19353221968792325,5,50,"(1, 2)",english,False,-0.06919763082048787,0.6957575757575758,0.5063544064014965
dataset_name,RF,LCB,34,95.27434515953064,-0.5805116853166681,-0.5786332102652559,0.16332552345394194,False,eom,euclidean,5,2,probabilities,euclidean,0.1844227996408122,9,26,"(1, 2)",english,False,-0.048528032305543534,0.6609137055837564,0.20422294259708237
dataset_name,RF,LCB,35,90.94846296310425,-0.5340298313886399,-0.5341324807341978,0.2259437213535033,False,eom,euclidean,5,2,embeddings,cosine,0.1878110745947613,5,47,"(1, 2)",english,False,-0.06663750084366082,0.7323529411764705,0.5297119372991964
dataset_name,RF,LCB,36,90.73613905906677,-0.527903540304403,-0.529626778999469,0.2298764422813684,False,eom,euclidean,5,2,probabilities,euclidean,0.1665350154190317,8,47,"(1, 2)",english,False,-0.0658295729827434,0.7412213740458016,0.32708592697300154
dataset_name,RF,LCB,37,82.9393367767334,-0.5531236229558482,-0.5445999781974896,0.22941408501188262,False,eom,euclidean,4,2,c-tf-idf,euclidean,0.1769408191297233,10,49,"(1, 2)",english,False,-0.0772174410740163,0.7341772151898734,0.44125743470532985
dataset_name,RF,LCB,38,77.2831130027771,-0.5333815194986766,-0.5294022019926371,0.22679055632333756,False,eom,euclidean,5,2,probabilities,euclidean,0.15828225152367068,9,48,"(1, 2)",english,False,-0.05855076137237818,0.7316176470588235,0.35176768521828333
dataset_name,RF,LCB,39,82.5073971748352,-0.5347905326763942,-0.5341236387995039,0.2287304869640455,True,eom,euclidean,5,2,embeddings,cosine,0.16859766120611042,5,48,"(1, 2)",english,False,-0.06843402805526973,0.7347826086956522,0.5450153646447072
dataset_name,RF,LCB,40,81.00143098831177,-0.5359830775362443,-0.5338590149917247,0.22029209433772726,True,eom,euclidean,5,1,probabilities,euclidean,0.1518627518299611,5,47,"(1, 2)",english,False,-0.05767524976000486,0.7316176470588235,0.3505525494766735
dataset_name,RF,LCB,41,88.15165901184082,-0.5659116335590489,-0.5623022524904692,0.20747880105013256,False,eom,euclidean,4,1,c-tf-idf,cosine,0.16220988388574192,3,48,"(1, 2)",english,False,-0.07326348187281763,0.7011764705882353,0.4221844941797554
