dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,24,167.2743079662323,-0.425674025831244,-0.4276872991133875,0.32616268523324254,True,eom,euclidean,15,8,none,euclidean,0.042548693425261894,10,5,"(1, 1)",english,False,-0.061515198477428513,0.9022222222222223,0.7116425894385006
dataset_name,RF,LCB,25,112.41846704483032,-0.4896495404562807,-0.4938465637108323,0.3507195864493314,True,eom,euclidean,15,3,none,euclidean,0.1387870739418434,10,2,"(1, 1)",english,False,-0.13087494410706996,0.86,0.5744619921275481
dataset_name,RF,LCB,26,147.9294011592865,-0.4542020999258348,-0.45039797528728465,0.22901284706389732,False,eom,euclidean,15,10,none,euclidean,0.07988413782492126,4,14,"(1, 1)",english,False,0.015272564137307038,0.8,0.7129179907241681
dataset_name,RF,LCB,27,118.87892198562622,-0.3859597769979207,-0.3846259704815211,0.32542587752723834,True,eom,euclidean,15,2,none,euclidean,0.18237494133141058,4,16,"(1, 1)",english,False,-0.016633654274454023,0.9380952380952381,0.6162767069984554
dataset_name,RF,LCB,28,147.4492826461792,-0.40896724946592233,-0.4069719803979566,0.32102500835717795,True,eom,euclidean,15,3,none,euclidean,0.11212450799082414,6,11,"(1, 1)",english,False,-0.03491527193829005,0.9168539325842696,0.7034872272243616
dataset_name,RF,LCB,29,140.0902988910675,-0.40332866260266176,-0.4046416651289337,0.32352306762501615,True,eom,euclidean,15,2,none,cosine,0.09899044932655518,6,12,"(1, 1)",english,False,-0.03746437675099436,0.9183098591549296,0.6662916342033579
dataset_name,RF,LCB,30,128.63402390480042,-0.4375040859980656,-0.43368119643041175,0.26350410833689375,False,eom,euclidean,15,2,none,cosine,0.16956734308796773,4,12,"(1, 1)",english,False,-0.005342722015100897,0.8450704225352113,0.6297626314156825
dataset_name,RF,LCB,31,124.35462307929993,-0.4156773680033139,-0.41622362135158947,0.2767589796156062,False,eom,euclidean,15,4,none,euclidean,0.12821975120054657,7,20,"(1, 1)",english,False,0.0006913987524555365,0.8714285714285714,0.7592457425731189
dataset_name,RF,LCB,32,125.35032486915588,-0.42654561314917017,-0.42445566899660747,0.2675002903887329,False,eom,euclidean,15,2,none,euclidean,0.1031311758661686,7,15,"(1, 1)",english,False,0.0011966570858354423,0.8527777777777777,0.6644486933648822
dataset_name,RF,LCB,33,144.22896218299866,-0.40432708060319383,-0.40447486285529144,0.32624623420473126,True,eom,euclidean,15,2,none,euclidean,0.10851464715638852,7,6,"(1, 1)",english,False,-0.0315959555773439,0.9204545454545454,0.6957842397789166
dataset_name,RF,LCB,34,128.74252319335938,-0.5069800337491513,-0.49348743909870846,0.26480519940522723,True,eom,euclidean,15,2,none,euclidean,0.16506274119364484,2,10,"(1, 2)",english,False,-0.062087734634383274,0.7866666666666666,0.6574487626573007
dataset_name,RF,LCB,35,121.70095181465149,-0.41446420198755174,-0.4140462482653824,0.27283840515277574,False,eom,euclidean,15,2,none,cosine,0.1407863837759907,8,20,"(1, 1)",english,False,0.009702421919740484,0.865625,0.6573748105159732
dataset_name,RF,LCB,36,157.72492909431458,-0.4123274507471421,-0.41127239837622637,0.31969117264609687,True,eom,euclidean,15,2,none,cosine,0.05792388086857424,9,8,"(1, 1)",english,False,-0.03752525173499344,0.9057471264367816,0.6778353548889889
dataset_name,RF,LCB,37,148.67607998847961,-0.5008778384326819,-0.5030559134895484,0.35304248457231957,True,eom,euclidean,15,2,none,cosine,0.13320325418494625,2,2,"(1, 1)",english,False,-0.14680163686465703,0.8597701149425288,0.5347454776115587
dataset_name,RF,LCB,38,155.0795238018036,-0.45346155265047383,-0.442962691939778,0.3225855540064803,True,eom,euclidean,15,2,none,euclidean,0.0812879043753082,6,4,"(1, 1)",english,False,-0.07324294260476694,0.8855670103092783,0.6911538977664763
dataset_name,RF,LCB,39,124.90396118164062,-0.42516310527391465,-0.4219491506785931,0.26818977666990745,False,eom,euclidean,14,2,none,euclidean,0.16599942015826102,9,16,"(1, 1)",english,False,0.004330843253684911,0.8605633802816901,0.7624423766482417
dataset_name,RF,LCB,40,131.13543391227722,-0.3983305390155227,-0.3995065127694694,0.3310856958351983,True,eom,euclidean,15,2,none,euclidean,0.19333434954479936,8,6,"(1, 1)",english,False,-0.03934328850708437,0.9291666666666667,0.6302681024085475
dataset_name,RF,LCB,41,121.93590879440308,-0.4210961967159216,-0.4195183272830272,0.3305488399160063,True,eom,euclidean,15,2,none,cosine,0.18973201581162866,8,4,"(1, 1)",english,False,-0.05519194793530043,0.913235294117647,0.5594670353741525
dataset_name,RF,LCB,42,131.3073389530182,-0.44141695734479575,-0.44032403915063595,0.34442495825435204,True,eom,euclidean,14,5,none,euclidean,0.17848956030051621,8,3,"(1, 1)",english,False,-0.08557426652645386,0.90875,0.6554556971633446
dataset_name,RF,LCB,43,131.41509771347046,-0.398723968459576,-0.3999626222637676,0.33055654470939355,True,eom,euclidean,13,4,none,cosine,0.18093250279522427,9,12,"(1, 1)",english,False,-0.04017253812036143,0.9324675324675324,0.6405451011054049
dataset_name,RF,LCB,44,161.10938024520874,-0.4373088012260792,-0.42336372197768674,0.312916528150233,True,eom,euclidean,13,2,none,cosine,0.19642744620472166,2,8,"(1, 1)",english,False,-0.04433805652114371,0.9086538461538461,0.6366284578332327
dataset_name,RF,LCB,45,139.95418214797974,-0.4471846537163282,-0.44518346768651584,0.3445294364440605,True,eom,euclidean,13,3,none,euclidean,0.19034572701919678,6,3,"(1, 1)",english,False,-0.0918323513296843,0.9042105263157895,0.6299270672738339
dataset_name,RF,LCB,46,161.79213976860046,-0.4919001001188541,-0.4854646344808473,0.20594430086483864,False,eom,euclidean,14,12,none,cosine,0.09090401474534139,8,6,"(1, 1)",english,False,0.00048085769276654883,0.753,0.7071100967529967
dataset_name,RF,LCB,47,139.73247599601746,-0.40672572072228685,-0.40016845746286744,0.32211593597725924,True,eom,euclidean,12,3,none,euclidean,0.18222700095995403,9,15,"(1, 1)",english,False,-0.028911116122832533,0.9296296296296296,0.696626381817082
dataset_name,RF,LCB,48,148.1328639984131,-0.4049202433726321,-0.4042451133484024,0.3282077269803259,True,eom,euclidean,11,3,none,euclidean,0.1829561117197223,9,12,"(1, 1)",english,False,-0.036219033625937154,0.9287356321839081,0.6448676352469657
dataset_name,RF,LCB,49,151.8894648551941,-0.4190990749407598,-0.4110558868745757,0.32133340018436424,True,eom,euclidean,11,2,none,euclidean,0.1625226562535198,9,13,"(1, 1)",english,False,-0.04191919473063767,0.9202247191011236,0.6468812309785814
dataset_name,RF,LCB,50,237.17039012908936,-0.47194269459214555,-0.4707889825009733,0.29665629152626594,True,eom,euclidean,6,2,none,euclidean,0.18191882481685695,10,15,"(1, 1)",english,False,-0.06940703376154717,0.8371287128712871,0.659118634097984
dataset_name,RF,LCB,51,246.06893587112427,-0.4737584388909471,-0.4719753845119063,0.298301758916267,True,eom,euclidean,5,4,none,cosine,0.18649219862011285,5,18,"(1, 1)",english,False,-0.07370792866291612,0.8393162393162393,0.6509331214889661
dataset_name,RF,LCB,52,239.89441108703613,-0.559209802743038,-0.5560533823624391,0.1601591011698952,False,eom,euclidean,5,2,none,cosine,0.19960506475956288,7,17,"(1, 1)",english,False,-0.023363484020553035,0.6746781115879829,0.6356209673140822
dataset_name,RF,LCB,53,179.37351202964783,-0.4252851489683882,-0.4243894836913362,0.2956096912135904,True,eom,euclidean,10,8,none,euclidean,0.18392064074608896,9,17,"(1, 1)",english,False,-0.02715874287274147,0.8773109243697479,0.7008399402899869
dataset_name,RF,LCB,54,187.31865310668945,-0.4321936824744483,-0.4322068186971337,0.3044991531404477,True,eom,euclidean,10,3,none,euclidean,0.16373235696396982,9,12,"(1, 1)",english,False,-0.04288574181038822,0.8792307692307693,0.7151317203571695
dataset_name,RF,LCB,55,172.25972723960876,-0.4227927439278485,-0.41974863174592697,0.315769157508469,True,eom,euclidean,13,4,none,euclidean,0.09453690637275115,8,10,"(1, 1)",english,False,-0.04135257864490175,0.9049019607843137,0.707775106525091
dataset_name,RF,LCB,56,175.51391196250916,-0.4857666634270392,-0.48562746977319654,0.20424197899783259,False,eom,euclidean,11,2,none,cosine,0.10868618287920481,10,10,"(1, 1)",english,False,0.005200503740786659,0.7535087719298246,0.7032391178174386
dataset_name,RF,LCB,57,162.54694604873657,-0.41178457335204177,-0.4073353263462374,0.30757142070585397,True,eom,euclidean,14,2,none,cosine,0.08067533509153092,7,19,"(1, 1)",english,False,-0.021466772814195848,0.910989010989011,0.7397872336479974
dataset_name,RF,LCB,58,125.74997305870056,-0.4395534386478379,-0.4277330113623552,0.27441639885396896,False,eom,euclidean,15,7,none,cosine,0.1815650140561214,7,8,"(1, 1)",english,False,-0.0078096434595683155,0.8712121212121212,0.5875733502518016
dataset_name,RF,LCB,59,132.76921582221985,-0.4678025371330076,-0.4756249432312316,0.2557923488545617,False,eom,euclidean,15,3,none,cosine,0.19345261389823737,9,3,"(1, 1)",english,False,-0.04251594215946127,0.8,0.5991903830514703
dataset_name,RF,LCB,60,129.04238605499268,-0.39242443610477534,-0.3935491970704145,0.32210589752548574,True,eom,euclidean,15,14,none,cosine,0.08795525299179902,8,17,"(1, 1)",english,False,-0.019367070373962125,0.9298507462686567,0.6531962524163933
dataset_name,RF,LCB,61,137.86968183517456,-0.40484963092788395,-0.3977145345785502,0.31224258186943143,True,eom,euclidean,15,12,none,euclidean,0.14599308112399476,2,19,"(1, 1)",english,False,-0.01708213302409859,0.9071428571428571,0.6151636720549074
dataset_name,RF,LCB,62,158.08503985404968,-0.4160618623282476,-0.4097944391622417,0.3145154811118664,True,eom,euclidean,11,11,none,cosine,0.17623986737920833,8,16,"(1, 1)",english,False,-0.029762794539595665,0.9018867924528302,0.6993135218623913
dataset_name,RF,LCB,63,161.35995626449585,-0.40835982357298073,-0.4035301179088477,0.3132915684211873,True,eom,euclidean,15,7,none,euclidean,0.019095675082979737,10,18,"(1, 1)",english,False,-0.021869705331116266,0.9126436781609195,0.7303881003752242
dataset_name,RF,LCB,64,167.47317624092102,-0.4111497428412805,-0.41033670368577524,0.3038854405669248,True,eom,euclidean,15,4,none,cosine,0.00862750749968031,6,17,"(1, 1)",english,False,-0.021561374464390846,0.8938144329896908,0.737666794243175
dataset_name,RF,LCB,65,118.24298882484436,-0.3938045892950412,-0.3920381746618806,0.3211168669506407,True,eom,euclidean,15,14,none,cosine,0.19993897615178888,3,18,"(1, 1)",english,False,-0.022363254548176545,0.932258064516129,0.7059981223954407
dataset_name,RF,LCB,66,183.46437811851501,-0.4292689269587068,-0.42827535999863614,0.2970676477667751,True,eom,euclidean,10,14,none,cosine,0.14192316073689928,9,19,"(1, 1)",english,False,-0.03366932446761503,0.872093023255814,0.7130175227912356
dataset_name,RF,LCB,67,130.87928438186646,-0.4126141527682105,-0.4126384577725062,0.27755838732137544,False,eom,euclidean,15,2,none,cosine,0.07710881110609386,9,19,"(1, 1)",english,False,0.001376891982937595,0.8705882352941177,0.6614227968738285
dataset_name,RF,LCB,68,143.8165202140808,-0.4542380688843653,-0.44909729656902014,0.24062521076173649,False,eom,euclidean,15,2,none,euclidean,0.08128312003974889,7,12,"(1, 1)",english,False,0.007776704953543881,0.8022988505747126,0.7129468313419688
dataset_name,RF,LCB,69,122.84511995315552,-0.41992989710254847,-0.41703752024728497,0.34123973342926645,True,eom,euclidean,15,3,none,euclidean,0.17887115349112553,10,5,"(1, 1)",english,False,-0.06403339484300935,0.9246153846153846,0.7024250123264768
dataset_name,RF,LCB,70,163.00789999961853,-0.4104642865176394,-0.4096383707275823,0.3172232391173897,True,eom,euclidean,13,11,none,euclidean,0.08688477959921598,9,17,"(1, 1)",english,False,-0.03393512908328257,0.9117021276595745,0.7081054229941943
dataset_name,RF,LCB,71,120.62550401687622,-0.4939920947254172,-0.49193127022282807,0.34914217042406664,True,eom,euclidean,15,14,none,euclidean,0.18424165538580514,5,2,"(1, 1)",english,False,-0.1329594133638172,0.8666666666666667,0.5008775670218159
